order_num,PID,purchase_num,purchase_value,item_num,category,branches
1376107,d3287c0d-115b-11e8-a68d-0a58ac13001a,1,12.5,12000691,snacks,B
1376113,fc8d8c77-a820-4c3a-8165-4e27541c8e3e,1,6.5,11601838,drinks,A
1376113,fc8d8c77-a820-4c3a-8165-4e27541c8e3e,1,32,99929049,tobacco,A
1376253,88b345a7-4070-45e3-a583-e57610da7993,1,6.5,11601838,drinks,B
1376320,d7176358-f684-4f0f-ab67-be3333e02608,1,2,11000391,drinks,A
1376320,d7176358-f684-4f0f-ab67-be3333e02608,1,3.5,11000075,drinks,A
1376320,d7176358-f684-4f0f-ab67-be3333e02608,1,3.5,93895557,snacks,A
1376343,d7176358-f684-4f0f-ab67-be3333e02608,1,5.5,16400072,snacks,A
1376343,d7176358-f684-4f0f-ab67-be3333e02608,1,9.9,60603257,dairy,A
1376374,a1c0d64f-3257-11e8-b22b-0a58ac130054,1,2.3,18000052,snacks,B
1376374,a1c0d64f-3257-11e8-b22b-0a58ac130054,1,1.5,13000094,auxiliary meal,B
1376374,a1c0d64f-3257-11e8-b22b-0a58ac130054,1,4.5,30603390,fast food,B
1376430,eb76cc3d-19df-11e8-a74f-0a58ac13001a,1,2,11000133,drinks,B
1376430,eb76cc3d-19df-11e8-a74f-0a58ac13001a,1,5,11000086,drinks,B
1376510,18d38f6a-4385-11e8-b29d-0a58ac130517,1,4.5,12604187,drinks,B
1376604,322c37df-72e1-4726-8f07-5b6c291fb2c1,1,6,40603730,snacks,A
1376605,fbe42f8c-0cb1-40b4-a41c-1354e2c7ea8c,1,7,60603315,dairy,B
1376605,fbe42f8c-0cb1-40b4-a41c-1354e2c7ea8c,1,4,11000110,dairy,B
1376703,ae60b458-3d2d-4399-90c5-6169e9648d3f,1,4,11000747,alcohol,A
1376833,da3bdb18-0323-11e8-b63e-0a58ac13023c,1,3.5,12604173,drinks,A
1376833,da3bdb18-0323-11e8-b63e-0a58ac13023c,1,6,12604180,drinks,A
1376892,f7dfbfbd-5926-11e8-a843-0a58ac130384,1,10,10000049,tobacco,B
1377018,1a0f2150-452f-11e8-b052-0a58ac130519,1,13.5,11000168,drinks,B
1377089,c4346b11-9a57-4662-8b07-b4fdf4efc6ab,1,3,12001257,drinks,B
1377142,dd554ec9-9b2d-424e-b34d-35b76452e593,1,16,99900443,tobacco,A
1377142,dd554ec9-9b2d-424e-b34d-35b76452e593,1,3,11000264,dairy,A
1377142,dd554ec9-9b2d-424e-b34d-35b76452e593,1,4.5,40603723,snacks,A
1377142,dd554ec9-9b2d-424e-b34d-35b76452e593,1,1.5,11000062,drinks,A
1377379,ca12cc98-4cdc-11e8-b75a-0a58ac130522,1,2,11000084,drinks,B
1377379,ca12cc98-4cdc-11e8-b75a-0a58ac130522,1,3.5,11603832,drinks,B
1377379,ca12cc98-4cdc-11e8-b75a-0a58ac130522,1,2,11000391,drinks,B
1377379,ca12cc98-4cdc-11e8-b75a-0a58ac130522,1,0.2,50000006,shopping bag,B
1377911,a1fe1425-7dab-11e8-ad62-0a58ac130661,1,6.5,11601838,drinks,B
1377964,423b7748-7ee0-4637-becc-d210e8374627,1,1.5,93895468,fast food,A
1377964,423b7748-7ee0-4637-becc-d210e8374627,1,2,11000194,dairy,A
1377964,423b7748-7ee0-4637-becc-d210e8374627,1,3.5,12604032,snacks,A
1378108,ed2cc17a-3a04-4d95-a717-48c1d101937b,2,2,12603918,snacks,B
1378130,1083fb8e-8fcf-11e8-bde6-0a58ac1305b1,2,2,12603916,snacks,B
1378130,1083fb8e-8fcf-11e8-bde6-0a58ac1305b1,2,2,12603915,snacks,B
1378622,252188e6-490c-4700-ade9-0a5f6fa7f9c1,1,5,91000191,dairy,B
1378622,252188e6-490c-4700-ade9-0a5f6fa7f9c1,1,2,11000133,drinks,B
1378718,70d9a91a-7b34-4a99-862b-5ae035a33627,1,8.5,10000008,tobacco,B
1378762,fdf6ccec-f361-4a19-bd6c-c2bac1df3f12,1,4.5,11000065,drinks,C
1378809,1a066518-48e8-11e8-b517-0a58ac130522,3,6,11000391,drinks,C
1378908,f7361ff0-6d63-4f62-a9a8-b2679f430d4e,1,3.5,11000030,drinks,A
1378908,f7361ff0-6d63-4f62-a9a8-b2679f430d4e,1,5,12604228,drinks,A
1378954,ba0caabe-4f99-11e8-83a1-0a58ac130356,2,4,33600635,leisure,B
1379048,58ce8007-2ab8-11e8-ab3b-0a58ac13027d,1,1.5,12000674,snacks,B
1379068,35c0e58e-8b56-11e8-b6e5-0a58ac1305b1,1,11,10000037,tobacco,B
1379081,35c0e58e-8b56-11e8-b6e5-0a58ac1305b1,1,3,40000005,fast food,B
1379403,16cba64d-fd9c-48ae-bea3-e8205f9352e5,1,2,11000631,drinks,C
1379504,05182b32-8e74-11e8-bc8c-0a58ac1305b1,1,4.5,99928181,snacks,A
1379556,acd42f74-3992-11e8-85a2-0a58ac130136,1,10.8,30600869,personal cleaning,A
1379556,acd42f74-3992-11e8-85a2-0a58ac130136,1,5.5,99004878,personal cleaning,A
1379810,edadde29-ce21-4d39-bb5e-138f03f93924,1,23,10000061,tobacco,A
1379855,1493aea4-8c8a-11e8-b8e6-0a58ac1305b1,1,9,12000694,snacks,B
1380064,aadaa285-363b-11e8-940a-0a58ac1300a2,1,8,60603260,snacks,B
1380093,b0298d78-a703-476f-8156-29bec579413e,1,11,30020003,grain and oil,A
1380359,fba73114-441e-11e8-afd6-0a58ac130519,1,15,10000010,tobacco,C
1380403,c93f03c6-2689-4eb3-bce2-bdfc8ee7ddea,2,39.799999,16000164,personal cleaning,A
1380602,92b1f3ec-4cef-11e8-9cc0-0a58ac1300da,1,5.5,11000061,drinks,B
1380617,aeac40de-bad3-41c3-a49f-930224186000,2,17,10000008,tobacco,B
1380737,e6639c78-71fe-4783-ad96-81aeb00df9b8,1,17.5,31000054,shoes and clothing,C
1380861,8fc2fe2e-1235-11e8-a69e-0a58ac13001a,2,10,11000226,drinks,B
1380861,8fc2fe2e-1235-11e8-a69e-0a58ac13001a,1,12.9,30603420,fast food,B
1380861,8fc2fe2e-1235-11e8-a69e-0a58ac13001a,1,9.9,30603419,fast food,B
1380861,8fc2fe2e-1235-11e8-a69e-0a58ac13001a,2,42,10000012,tobacco,B
1380861,8fc2fe2e-1235-11e8-a69e-0a58ac13001a,1,0.3,50000005,shopping bag,B
1380876,8fc2fe2e-1235-11e8-a69e-0a58ac13001a,1,2,11000391,drinks,B
1380876,8fc2fe2e-1235-11e8-a69e-0a58ac13001a,1,1,30000002,household cleaning,B
1380883,f8fa268d-4dd0-4061-a0ee-fc8742b66468,1,6.9,99922713,grain and oil,A
1380883,f8fa268d-4dd0-4061-a0ee-fc8742b66468,1,7.9,30603409,grain and oil,A
1380985,a4fd1a77-671d-49d4-8d71-f9db7a9ac74e,1,2,11000133,drinks,B
1380985,a4fd1a77-671d-49d4-8d71-f9db7a9ac74e,1,13,10603662,tobacco,B
1381362,fe020b13-42d5-11e8-b272-0a58ac130517,2,35.8,12601468,snacks,B
1381362,fe020b13-42d5-11e8-b272-0a58ac130517,4,5.3,16400100,snacks,B
1381362,fe020b13-42d5-11e8-b272-0a58ac130517,4,14,12603347,snacks,B
1381362,fe020b13-42d5-11e8-b272-0a58ac130517,2,19,12000359,snacks,B
1381362,fe020b13-42d5-11e8-b272-0a58ac130517,1,6.9,12000076,snacks,B
1381439,166a3abd-4ddf-11e8-b826-0a58ac130522,2,6.6,11000156,dairy,B
1381548,c1a18c32-7164-42cd-94d4-fbdf2061be70,1,4,12604225,drinks,A
1381548,c1a18c32-7164-42cd-94d4-fbdf2061be70,1,2,11000270,drinks,A
1381677,0a7ef29d-8230-4e39-a4df-abb1b89f760f,1,8.5,10000008,tobacco,A
1382033,9ccb207a-9305-11e8-8217-0a58ac1305b1,2,7,11000030,drinks,C
1382033,9ccb207a-9305-11e8-8217-0a58ac1305b1,1,4,18071604,snacks,C
1382033,9ccb207a-9305-11e8-8217-0a58ac1305b1,1,7.8,12000037,snacks,C
1382033,9ccb207a-9305-11e8-8217-0a58ac1305b1,1,3.5,11000121,drinks,C
1382033,9ccb207a-9305-11e8-8217-0a58ac1305b1,1,0.2,50000006,shopping bag,C
1382061,657e798f-71eb-11e8-9704-0a58ac13065a,1,3.5,11000030,drinks,A
1382061,657e798f-71eb-11e8-9704-0a58ac13065a,1,4.5,11000065,drinks,A
1382184,c95604c1-6726-4a6b-8057-5d11f908de63,1,15,10000010,tobacco,B
1382336,c81b9b36-7d4d-11e8-ad22-0a58ac130661,1,1,10603552,tobacco,A
1382379,967b2d97-06e0-11e8-a920-0a58ac130242,1,5,11000255,drinks,C
1382408,f0de35b7-4951-11e8-b551-0a58ac130522,3,9,11000264,dairy,A
1382464,dc1979dc-4a07-11e8-b59d-0a58ac130522,1,8.6,13000138,edible condiments,A
1382567,0c559e36-681b-4254-8589-14fde307403f,1,2,11000391,drinks,A
1382655,978d76e7-69cb-4baa-81b1-788dfb64783e,2,2,13000012,fast food,B
1382655,978d76e7-69cb-4baa-81b1-788dfb64783e,1,13.5,30603326,fast food,B
1382655,978d76e7-69cb-4baa-81b1-788dfb64783e,1,16,10000084,tobacco,B
1382655,978d76e7-69cb-4baa-81b1-788dfb64783e,1,16,10000072,tobacco,B
1382655,978d76e7-69cb-4baa-81b1-788dfb64783e,1,23,10000061,tobacco,B
1382655,978d76e7-69cb-4baa-81b1-788dfb64783e,1,22,10603641,tobacco,B
1382655,978d76e7-69cb-4baa-81b1-788dfb64783e,1,15,10000010,tobacco,B
1382655,978d76e7-69cb-4baa-81b1-788dfb64783e,1,16,10000014,tobacco,B
1382655,978d76e7-69cb-4baa-81b1-788dfb64783e,1,21,10000012,tobacco,B
1382655,978d76e7-69cb-4baa-81b1-788dfb64783e,1,0.2,50000006,shopping bag,B
1382681,ecca40f8-7bb0-4052-8639-3f7254eab08f,1,7.5,12000261,snacks,C
1382681,ecca40f8-7bb0-4052-8639-3f7254eab08f,1,7.5,99001868,snacks,C
1382681,ecca40f8-7bb0-4052-8639-3f7254eab08f,2,5,12603865,snacks,C
1382681,ecca40f8-7bb0-4052-8639-3f7254eab08f,1,7.5,99926172,snacks,C
1382681,ecca40f8-7bb0-4052-8639-3f7254eab08f,1,5.5,13000408,fast food,C
1382681,ecca40f8-7bb0-4052-8639-3f7254eab08f,1,3,99933980,fast food,C
1382681,ecca40f8-7bb0-4052-8639-3f7254eab08f,1,2.75,18000181,snacks,C
1382681,ecca40f8-7bb0-4052-8639-3f7254eab08f,1,0.3,50000005,shopping bag,C
1382916,1f38d4da-639b-11e8-8674-0a58ac1303b3,1,11.5,15616627,snacks,B
1383126,527aa6c8-02ee-4da2-8a90-9533c0d4e7da,1,2,99002183,drinks,C
1383222,65857bab-1ea4-11e8-bc07-0a58ac130020,1,8.5,10000008,tobacco,B
1383278,6ca09fcf-4c78-11e8-b73e-0a58ac130522,1,11.9,12604002,snacks,A
1383488,856c3645-072c-4194-b888-905bf5306cee,1,5,99008543,snacks,B
1383488,856c3645-072c-4194-b888-905bf5306cee,1,14.8,15616700,snacks,B
1383523,68a8af75-36af-4754-af9c-e9f7c0894382,1,3,11000029,drinks,A
1383544,fb90603d-8d15-4c6e-aac0-d077b2cd3389,1,3.5,11000121,drinks,C
1383659,b8176d4f-13c7-41e4-8004-34374623fc1d,1,26,10603752,tobacco,A
1383915,09785d8a-50f7-11e8-83d7-0a58ac130356,1,9.5,13000371,edible condiments,A
1384086,7acc5422-f787-4616-b69f-2b8a406da3ee,2,6,40000005,fast food,A
1384129,8000a513-4612-11e8-b0e7-0a58ac130519,2,19.8,12604241,drinks,B
1384129,8000a513-4612-11e8-b0e7-0a58ac130519,1,5,91000170,dairy,B
1384280,00392b91-71e0-11e8-96ec-0a58ac13065a,1,2,11000391,drinks,A
1384302,63ae74c2-8310-4da7-9e32-ade584d011fd,1,6,40603730,snacks,A
1384567,ef27ba2e-af3c-42f2-906a-fb84c904ad39,1,5.5,11000061,drinks,B
1384718,601d64ec-43e6-11e8-afd3-0a58ac130519,1,3,15616704,snacks,C
1385131,ac2a15a7-58f7-4a09-9203-effed98b8a33,1,6,11000001,drinks,A
1385783,aee4435b-19e9-11e8-a750-0a58ac13001a,1,5,12604176,drinks,B
1385783,aee4435b-19e9-11e8-a750-0a58ac13001a,1,5,12604177,drinks,B
1385894,497691fc-525e-11e8-ba25-0a58ac13035b,1,18,10603579,tobacco,A
1385894,497691fc-525e-11e8-ba25-0a58ac13035b,1,5,99000712,drinks,A
1385999,cffb3b00-49ff-4d8a-bf57-37f874b993de,1,2,11000269,drinks,A
1386158,6612ffe3-8575-11e8-b2ec-0a58ac1303f0,1,1,30000002,household cleaning,A
1386188,2ccd4d8f-8fae-11e8-bdc7-0a58ac1305b1,1,3,11000130,drinks,A
1386380,6503dec8-be79-4494-8bc9-a86ab373fe8e,2,7,33000026,leisure,C
1386380,6503dec8-be79-4494-8bc9-a86ab373fe8e,1,3,90087711,snacks,C
1386403,09286c37-3220-11e8-a0fa-0a58ac130032,1,4.5,30603337,auxiliary meal,B
1386652,6262b164-5ce3-4bbf-8aae-67d83c44351c,2,10,11000425,drinks,A
1386652,6262b164-5ce3-4bbf-8aae-67d83c44351c,1,13.3,11000179,dairy,A
1386765,50df8d60-0309-11e8-b243-0a58ac13023c,1,1,30000002,household cleaning,B
1386789,70a340fd-4a63-11e8-9c92-0a58ac1300da,1,3.5,12604173,drinks,A
1386794,3d1fcab1-51be-11e8-8403-0a58ac130356,1,2,11000133,drinks,A
1386794,3d1fcab1-51be-11e8-8403-0a58ac130356,1,3.5,12604235,drinks,A
1386794,3d1fcab1-51be-11e8-8403-0a58ac130356,1,3.3,11000428,drinks,A
1386961,9a2cc685-273b-11e8-8709-0a58ac13027b,5,27.5,12604189,drinks,C
1386961,9a2cc685-273b-11e8-8709-0a58ac13027b,1,8.9,18000089,snacks,C
1386961,9a2cc685-273b-11e8-8709-0a58ac13027b,1,7.5,12000261,snacks,C
1386961,9a2cc685-273b-11e8-8709-0a58ac13027b,1,3,11000085,drinks,C
1386961,9a2cc685-273b-11e8-8709-0a58ac13027b,1,2,11000391,drinks,C
1386961,9a2cc685-273b-11e8-8709-0a58ac13027b,1,0.3,50000005,shopping bag,C
1386961,9a2cc685-273b-11e8-8709-0a58ac13027b,1,0.2,50000006,shopping bag,C
1387002,2d490994-01f7-4578-9cb9-030956c4c21a,1,16,10000064,tobacco,A
1387060,50d1d2f4-5c9f-4512-a651-5d7a5655f1aa,1,0.2,50000006,shopping bag,B
1387060,50d1d2f4-5c9f-4512-a651-5d7a5655f1aa,1,10.8,30600869,personal cleaning,B
1387060,50d1d2f4-5c9f-4512-a651-5d7a5655f1aa,1,10.8,30600871,personal cleaning,B
1387293,35d137be-3660-4715-8848-7a3187d51ceb,1,9,90087792,snacks,C
1387353,6f44e6e5-7064-4170-9ff8-66177d6388e1,4,6,93895468,fast food,B
1387353,6f44e6e5-7064-4170-9ff8-66177d6388e1,4,2.5,11000218,dairy,B
1387569,eec9a82e-803d-11e8-adce-0a58ac1303f0,2,2,99936485,auxiliary meal,B
1387574,d09c2da3-43d5-11e8-afcd-0a58ac130519,1,2,11000391,drinks,A
1387601,3600b8ff-882b-11e8-94f8-0a58ac13066c,1,4.5,40000044,snacks,A
1387663,6383182f-a2eb-4c20-82f2-73f6735254c3,3,6,11000391,drinks,C
1387685,e6dd21ae-8ccf-11e8-b9f1-0a58ac1305b1,1,9.5,10000054,tobacco,B
1387857,b494811b-0cc4-11e8-a62c-0a58ac13001a,1,30,99001160,tobacco,B
1387923,d59657d4-4d4a-11e8-b7e0-0a58ac130522,1,8.5,10000008,tobacco,C
1387923,d59657d4-4d4a-11e8-b7e0-0a58ac130522,1,4,10603558,tobacco,C
1388428,19c91928-6ff4-400d-adde-3664191a026e,1,21,10000012,tobacco,B
1388428,19c91928-6ff4-400d-adde-3664191a026e,2,2,10603552,tobacco,B
1388657,f2daab49-4c23-4a2a-8da6-3932086b83a0,1,3,11000055,drinks,A
1388954,be996c4c-13bd-11e8-a6c3-0a58ac13001a,1,25,10000024,tobacco,C
1389247,08eb3376-511c-11e8-83e7-0a58ac130356,1,2,12000378,snacks,B
1389247,08eb3376-511c-11e8-83e7-0a58ac130356,1,6.5,18000178,snacks,B
1389417,b91df215-d916-4e07-9548-79f64b5cca43,1,0.75,18000067,snacks,A
1389417,b91df215-d916-4e07-9548-79f64b5cca43,1,13.5,33605274,shoes and clothing,A
1389417,b91df215-d916-4e07-9548-79f64b5cca43,1,6.5,18000147,snacks,A
1389417,b91df215-d916-4e07-9548-79f64b5cca43,1,6.5,18000148,snacks,A
1389435,8a85d5ce-7be1-4f4d-b0e2-7e14afc4dbda,1,3.5,40000015,fast food,A
1389527,f22c8a86-4f89-44a1-8110-7e0e9cdfa5fb,1,1,10603552,tobacco,A
1389669,c234c63b-62ec-4e0b-939a-669d0dba7af5,2,1.8,13000286,auxiliary meal,A
1389701,c82b2da2-88bf-4b00-845a-80543d7609cc,1,3,12604069,drinks,C
1389726,76dea40f-4a5c-11e8-b5be-0a58ac130522,2,4,11000270,drinks,C
1390054,2fb859e8-8a6e-11e8-b567-0a58ac1305b1,1,9.9,16400082,snacks,A
1390180,190a3d2d-82c2-11e8-b085-0a58ac1303f0,1,6.8,13000064,auxiliary meal,B
1390196,190a3d2d-82c2-11e8-b085-0a58ac1303f0,1,1.5,13000094,auxiliary meal,B
1390196,190a3d2d-82c2-11e8-b085-0a58ac1303f0,1,3,13000099,auxiliary meal,B
1390196,190a3d2d-82c2-11e8-b085-0a58ac1303f0,1,9.9,30603419,fast food,B
1390205,1ce4dd35-9f3b-4135-b1c8-fa742f7f5ea4,1,10,33000039,leisure,A
1390305,e59d59eb-2ea3-11e8-8b1a-0a58ac130032,1,4,11603845,drinks,B
1390499,70c9b06d-7f79-11e8-873e-0a58ac130661,1,99,61000187,personal cleaning,A
1390583,21be5154-b1b8-43bb-99e2-5a0290803fa8,2,4,13000068,auxiliary meal,A
1390583,21be5154-b1b8-43bb-99e2-5a0290803fa8,4,8,13000028,auxiliary meal,A
1390583,21be5154-b1b8-43bb-99e2-5a0290803fa8,1,8.5,13601060,edible condiments,A
1390583,21be5154-b1b8-43bb-99e2-5a0290803fa8,1,0.3,50000005,shopping bag,A
1390664,9f434ec0-8e35-11e8-bc09-0a58ac1305b1,1,7.5,30000015,household cleaning,B
1390755,f4fa0a30-564e-11e8-a994-0a58ac130550,1,14,13000365,grain and oil,C
1390906,a17de720-74ea-11e8-9000-0a58ac13059c,4,12,11602010,alcohol,A
1390906,a17de720-74ea-11e8-9000-0a58ac13059c,1,0.3,50000005,shopping bag,A
1391205,af9c639f-6ea9-11e8-be76-0a58ac1303c5,2,3,18111810,snacks,A
1391205,af9c639f-6ea9-11e8-be76-0a58ac1303c5,2,6,99933980,fast food,A
1391205,af9c639f-6ea9-11e8-be76-0a58ac1303c5,2,4,13000031,auxiliary meal,A
1391206,fa6bbe66-d4bc-4bdb-874e-2adb5d33224d,1,7,91000146,dairy,B
1391277,748edc71-44ad-4e6e-bb8c-bab08ca3b3b6,1,8.5,10000008,tobacco,A
1391277,748edc71-44ad-4e6e-bb8c-bab08ca3b3b6,1,1,10603552,tobacco,A
1391277,748edc71-44ad-4e6e-bb8c-bab08ca3b3b6,1,2,11000270,drinks,A
1391334,a018bbf5-1ebd-11e8-bc0f-0a58ac130020,1,16,10000033,tobacco,C
1391451,f1c04c6c-274c-11e8-8b27-0a58ac13027b,2,2,13000201,edible condiments,B
1391510,8c130557-2e9a-11e8-8b17-0a58ac130032,2,6,99933981,fast food,B
1391655,67bf596c-5c94-4dbc-bed1-0b8f2b92f57f,1,4,91000198,dairy,A
1391655,67bf596c-5c94-4dbc-bed1-0b8f2b92f57f,1,7.9,16000055,snacks,A
1391915,c020c902-7404-4cd0-8995-0ed40ecf60ed,1,28.799999,30000161,personal cleaning,A
1391952,a8e6594c-a7a7-47dd-ba31-caf4ab8c994d,1,1,10603552,tobacco,A
1392314,84b203cd-1e02-11e8-bbe7-0a58ac130020,1,3,13000344,snacks,B
1392388,57cfb609-b1d9-4f73-9d36-09cd30f80457,1,11.9,30603407,grain and oil,A
1392405,15ac2f94-5920-11e8-a842-0a58ac130384,2,4,11000133,drinks,B
1392405,15ac2f94-5920-11e8-a842-0a58ac130384,1,10.8,33605329,snacks,B
1392405,15ac2f94-5920-11e8-a842-0a58ac130384,1,6,11603819,dairy,B
1392405,15ac2f94-5920-11e8-a842-0a58ac130384,1,0.2,50000006,shopping bag,B
1392448,d9e046e4-0fb0-11e8-a674-0a58ac13001a,1,5.5,11000061,drinks,C
1392594,a7435791-569f-11e8-a9aa-0a58ac130550,1,4,91000047,dairy,C
1392693,72ff5710-4500-11e8-b037-0a58ac130519,1,3.5,11603832,drinks,C
1392911,5582567f-a4f1-479c-833f-a4210ca88c3d,1,5.5,40603717,snacks,A
1392911,5582567f-a4f1-479c-833f-a4210ca88c3d,1,4,80974487,snacks,A
1392911,5582567f-a4f1-479c-833f-a4210ca88c3d,1,7,70000263,snacks,A
1392935,f75f8b53-1f12-11e8-bc26-0a58ac130020,1,23,10603631,tobacco,A
1392974,0f4de927-533f-11e8-ba3d-0a58ac13035b,2,11,11000213,alcohol,B
1393182,bd301789-8d50-11e8-ba92-0a58ac1305b1,2,16,99001859,fast food,B
